album_id,style_id
1,1
2,2
3,1
3,3
3,4
3,5
3,6
3,7
3,8
4,1
4,5
5,9
5,10
6,11
6,12
6,13
7,14
7,15
8,16
8,17
8,18
9,18
9,16
10,1
10,7
11,1
11,3
12,23
12,24
13,1
13,4
14,5
15,2
15,5
15,20
15,25
16,5
16,21
17,5
17,21
17,22
17,25
18,1
18,11
18,17
