style_id,style_name
1,Pop Rock
2,Synth-pop
3,Ballad
4,Vocal
5,Disco
6,Soul
7,Soft Rock
8,Easy Listning
9,Hard Rock
10,Heavy Metal
11,Blues Rock
12,Jazz-Funk
13,Jazz-Rock
14,Folk Rock
15,Indie Rock
16,Classic Rock
17,Rock & Roll
18,Glam
19,Rock
20,Funk
21,House
22,Techno
23,Bop
24,Hard Bop
25,Electro
