album_id,genre_id
1,1
2,2
2,3
3,1
3,2
3,3
3,4
3,5
3,6
4,1
5,1
6,1
6,4
6,5
7,1
8,1
9,1
10,1
11,1
12,1
13,4
14,1
14,3
15,2
15,3
15,5
16,2
17,2
18,1
18,3
